collision_count_mean,collision_count_std,collision_penalized_discovery_rate_mean,collision_penalized_discovery_rate_std,discovery_rate_mean,discovery_rate_std,empty_scan_ratio_mean,empty_scan_ratio_std,forbid_sense,idle_actions_mean,idle_actions_std,lambda2_mean,lambda2_std,lcc_ratio_mean,lcc_ratio_std,marl_trained,mean_delay_censored_mean,mean_delay_censored_std,method_family,method_label,n_episodes,node_count,p95_delay_censored_mean,p95_delay_censored_std,piggyback_sense_actions_mean,piggyback_sense_actions_std,protocol,rf_chains,rx_actions_mean,rx_actions_std,sense_actions_mean,sense_actions_std,tx_actions_mean,tx_actions_std
790.6666666666666,81.01165896887242,0.04459811388892164,0.0040049173981966685,0.8222222222222222,0.048005486654873,0.11220319408013392,0.007615903481557076,1,113.33333333333333,7.039570693980958,4.912948800542415,0.6516391949674109,1.0,0.0,1,66.65925925925926,11.445089278249675,trained_marl,"MARL + TX-coupled ISAC + gate BC, TX/RX/IDLE",3,10,200.0,0.0,1886.6666666666667,7.039570693980958,marl_tx_isac_gate_bc_txrxidle,1,1488.6666666666667,29.32954520994525,0.0,0.0,398.0,31.506613062445584
1652.6666666666667,122.14836152082525,0.06321116350017872,0.00588506595294253,0.6105263157894737,0.0414421467053253,0.06557164280648439,0.004753594482617891,1,279.0,2.8284271247461903,6.717584786206995,1.613355240544984,1.0,0.0,1,106.53684210526316,6.276674196247221,trained_marl,"MARL + TX-coupled ISAC + gate BC, TX/RX/IDLE",3,20,200.0,0.0,3721.0,2.8284271247461903,marl_tx_isac_gate_bc_txrxidle,1,3036.6666666666665,30.5650490302604,0.0,0.0,684.3333333333334,33.359989341858146
2367.0,270.2640683973115,0.07213635316685284,0.004452020360871852,0.46206896551724136,0.022524043611799337,0.0392685198514204,0.002209061166662218,1,498.3333333333333,19.327585352432298,6.925267660063362,0.56331742631001,1.0,0.0,1,133.81532567049808,3.5001927399551533,trained_marl,"MARL + TX-coupled ISAC + gate BC, TX/RX/IDLE",3,30,200.0,0.0,5501.666666666667,19.327585352432298,marl_tx_isac_gate_bc_txrxidle,1,4487.666666666667,4.988876515698588,0.0,0.0,1014.0,19.026297590440446
4310.0,248.31565932632333,0.05874246795266756,0.002142370159727598,0.38290598290598293,0.01525347717741431,0.030227109452587816,0.0020332536255471757,1,851.6666666666666,38.09053542402481,6.986076930365213,0.3877758181399406,1.0,0.0,1,145.85641025641027,1.8205958810954461,trained_marl,"MARL + TX-coupled ISAC + gate BC, TX/RX/IDLE",3,40,200.0,0.0,7148.333333333333,38.09053542402481,marl_tx_isac_gate_bc_txrxidle,1,5815.333333333333,19.70335560817553,0.0,0.0,1333.0,26.981475126464083
5671.333333333333,260.7046008203325,0.05762987326752587,0.0008524187569026566,0.3243537414965986,0.010999392071514427,0.025954239336498385,0.0009897559600812317,1,1138.0,20.83266665599966,8.07454737726068,0.792609292668011,1.0,0.0,1,155.25360544217688,1.4291776102953961,trained_marl,"MARL + TX-coupled ISAC + gate BC, TX/RX/IDLE",3,50,200.0,0.0,8862.0,20.83266665599966,marl_tx_isac_gate_bc_txrxidle,1,7150.333333333333,33.15954697452237,0.0,0.0,1711.6666666666667,43.2691832858239
262.0,28.24889378365107,0.13112534815042898,0.009055861095056102,0.8888888888888888,0.01814436846506056,0.3770197996152231,0.007403035175397808,1,907.6666666666666,22.51419305435771,6.655917482959006,0.2571384522678478,1.0,0.0,1,60.74074074074074,3.4293016401840473,trained_marl,"MARL + TX-coupled ISAC, TX/RX/IDLE",3,10,200.0,0.0,1092.3333333333333,22.51419305435771,marl_tx_isac_txrxidle,1,804.6666666666666,11.440668201153676,0.0,0.0,287.6666666666667,11.08552609887726
443.0,91.06408000230753,0.17120057944532924,0.004205443625234303,0.5684210526315789,0.06753816335059702,0.1466658466527037,0.01602074075856012,1,1848.0,49.50420857529859,5.591561384879472,1.9492678130900947,1.0,0.0,1,117.29824561403508,8.979559565865253,trained_marl,"MARL + TX-coupled ISAC, TX/RX/IDLE",3,20,200.0,0.0,2152.0,49.50420857529859,marl_tx_isac_txrxidle,1,1615.6666666666667,34.41253001774531,0.0,0.0,536.3333333333334,17.594190960528863
768.3333333333334,91.48527507503901,0.15813411392009621,0.007714273482488969,0.43601532567049806,0.01880129371093532,0.096890092910188,0.004143219729273302,1,2881.3333333333335,45.50702021544466,5.728750534750371,0.5403058919619671,1.0,0.0,1,138.52183908045976,1.8543162005995752,trained_marl,"MARL + TX-coupled ISAC, TX/RX/IDLE",3,30,200.0,0.0,3118.6666666666665,45.50702021544466,marl_tx_isac_txrxidle,1,2387.3333333333335,51.29219130519663,0.0,0.0,731.3333333333334,15.96524001977073
1143.0,148.87130907823263,0.13562827667808397,0.0055009235470306755,0.3333333333333333,0.011796729693882258,0.0773510177317941,0.0034548386129041953,1,3811.6666666666665,18.408935028645434,4.851177971662737,1.0775972632725404,1.0,0.0,1,153.85470085470087,2.229404320949715,trained_marl,"MARL + TX-coupled ISAC, TX/RX/IDLE",3,40,200.0,0.0,4188.333333333333,18.408935028645434,marl_tx_isac_txrxidle,1,3180.3333333333335,33.06895153396242,0.0,0.0,1008.0,16.268579122549905
1790.3333333333333,179.33457248642517,0.11521112610598945,0.0022455279850793655,0.283265306122449,0.011330972959813342,0.06127773024113235,0.0038621989625155524,1,4881.0,45.45327270945405,5.001419979070536,0.3787949304053639,1.0,0.0,1,160.87537414965988,1.6576537978891492,trained_marl,"MARL + TX-coupled ISAC, TX/RX/IDLE",3,50,200.0,0.0,5119.0,45.45327270945405,marl_tx_isac_txrxidle,1,3925.6666666666665,13.424687043734846,0.0,0.0,1193.3333333333333,35.490217744549774
0.0,0.0,0.0,0.0,0.0,0.0,0.9205,0.007968688725254644,,0.0,0.0,0.0,0.0,0.1,0.0,0,200.0,0.0,wang_or_rule_baseline,Uniform Random,3,10,200.0,0.0,0.0,0.0,uniform_random,1,993.0,19.79898987322333,0.0,0.0,1007.0,19.79898987322333
0.0,0.0,0.015789473684210527,0.007443229275647868,0.015789473684210527,0.007443229275647868,0.8685833333333334,0.0046562383482330084,,0.0,0.0,0.0,0.0,0.11666666666666667,0.02357022603955158,0,198.53157894736842,0.9452998859742311,wang_or_rule_baseline,Uniform Random,3,20,200.0,0.0,0.0,0.0,uniform_random,1,1999.6666666666667,3.681787005729087,0.0,0.0,2000.3333333333333,3.681787005729087
0.0,0.0,0.006896551724137931,0.003754007268633223,0.006896551724137931,0.003754007268633223,0.8170555555555555,0.005645931562627799,,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0,199.38620689655173,0.3492588835474624,wang_or_rule_baseline,Uniform Random,3,30,200.0,0.0,0.0,0.0,uniform_random,1,2989.3333333333335,18.408935028645434,0.0,0.0,3010.6666666666665,18.408935028645434
0.0,0.0,0.012393162393162393,0.0015989988832367272,0.012393162393162393,0.0015989988832367272,0.7720833333333333,0.004420988451567015,,0.0,0.0,-2.1412738800633044e-16,1.9896723365907748e-16,0.11666666666666667,0.04249182927993987,0,198.8034188034188,0.275177175474207,wang_or_rule_baseline,Uniform Random,3,40,200.0,0.0,0.0,0.0,uniform_random,1,3974.0,30.210373494325864,0.0,0.0,4026.0,30.210373494325864
0.0,0.0,0.008979591836734694,0.0017634668567096219,0.008979591836734694,0.0017634668567096219,0.7514666666666667,0.009858104392946047,,0.0,0.0,-3.234669301954485e-16,3.029492877363548e-16,0.09333333333333334,0.0339934634239519,0,199.00163265306122,0.2418596102731753,wang_or_rule_baseline,Uniform Random,3,50,200.0,0.0,0.0,0.0,uniform_random,1,5011.0,46.07240678178932,0.0,0.0,4989.0,46.07240678178932
221.33333333333334,54.01440137181523,0.16016162134525,0.043059024021478626,0.8962962962962963,0.027715980642769936,0.8301666666666666,0.011876681167546591,,0.0,0.0,5.578102004963807,1.2543358770537174,1.0,0.0,0,77.37777777777778,8.336858513645488,wang_or_rule_baseline,Wang-like + neighbor table,3,10,199.2,1.131370849898492,1004.6666666666666,23.41414577178126,wang2025_comm_tables,1,995.3333333333334,23.41414577178126,0.0,0.0,1004.6666666666666,23.41414577178126
976.0,43.84822307308093,0.1399333390865907,0.003822271097053113,0.8578947368421053,0.011369720523522597,0.7425833333333334,0.0062260652814509435,,0.0,0.0,13.02129956869817,0.46827925982819896,1.0,0.0,0,85.83859649122807,1.644455882435491,wang_or_rule_baseline,Wang-like + neighbor table,3,20,200.0,0.0,1956.0,45.760244754590204,wang2025_comm_tables,1,2044.0,45.760244754590204,0.0,0.0,1956.0,45.760244754590204
2495.3333333333335,77.41805703810678,0.10474788685071779,0.0036123335551892875,0.7049808429118773,0.006033722508821336,0.7028333333333333,0.009301533127313912,,0.0,0.0,14.375698167862055,0.27885519054117475,1.0,0.0,0,111.88582375478927,1.5070847012580457,wang_or_rule_baseline,Wang-like + neighbor table,3,30,200.0,0.0,2999.3333333333335,28.288199345702832,wang2025_comm_tables,1,3000.6666666666665,28.288199345702832,0.0,0.0,2999.3333333333335,28.288199345702832
4251.666666666667,634.0185766644031,0.09668856377846699,0.01397842479237155,0.6123931623931624,0.006133632518977519,0.6321249999999999,0.007746639056175683,,0.0,0.0,16.844406614953005,0.28120153453447816,1.0,0.0,0,126.60897435897436,1.2348703041135924,wang_or_rule_baseline,Wang-like + neighbor table,3,40,200.0,0.0,3982.3333333333335,5.2493385826745405,wang2025_comm_tables,1,4017.6666666666665,5.2493385826745405,0.0,0.0,3982.3333333333335,5.2493385826745405
6796.333333333333,293.5646814966375,0.08269050731059739,0.005565172290240801,0.5401360544217687,0.016654306120380224,0.6234999999999999,0.014517116334405625,,0.0,0.0,16.000573860035875,1.6423373148215414,1.0,0.0,0,136.2843537414966,1.0808166005576143,wang_or_rule_baseline,Wang-like + neighbor table,3,50,200.0,0.0,5016.666666666667,45.7626728046147,wang2025_comm_tables,1,4983.333333333333,45.7626728046147,0.0,0.0,5016.666666666667,45.7626728046147
79.0,15.121728296285006,0.306156047395484,0.041991093351985614,0.8296296296296296,0.010475656017578498,0.8271666666666667,0.023213980461973552,,0.0,0.0,5.506888399591117,0.6207643641572311,1.0,0.0,0,102.75555555555556,3.731922131871717,wang_or_rule_baseline,"Wang-like ISAC, no table exchange",3,10,200.0,0.0,1004.6666666666666,5.312459150169742,wang2025_isac_no_collab,1,995.3333333333334,5.312459150169742,0.0,0.0,1004.6666666666666,5.312459150169742
521.6666666666666,54.877641672684476,0.20328412541913063,0.013684905462607283,0.7578947368421053,0.02392663455611552,0.73375,0.003973873005855497,,0.0,0.0,8.598803512856216,0.16248773582889553,1.0,0.0,0,107.11754385964912,5.511352060877172,wang_or_rule_baseline,"Wang-like ISAC, no table exchange",3,20,200.0,0.0,2019.6666666666667,8.259674462242579,wang2025_isac_no_collab,1,1980.3333333333333,8.259674462242579,0.0,0.0,2019.6666666666667,8.259674462242579
1242.0,168.7187008010671,0.17174559230703984,0.0139870986073902,0.6567049808429118,0.014087951196053813,0.6843333333333333,0.009022605355849688,,0.0,0.0,13.300783654188105,0.3289836909579363,1.0,0.0,0,123.33793103448276,1.0094667942543591,wang_or_rule_baseline,"Wang-like ISAC, no table exchange",3,30,200.0,0.0,2971.0,45.58508528016593,wang2025_isac_no_collab,1,3029.0,45.58508528016593,0.0,0.0,2971.0,45.58508528016593
2869.0,415.7138438878359,0.12687537301530474,0.019970529349001256,0.5829059829059828,0.019025495119275253,0.594,0.012426031144335683,,0.0,0.0,14.221880220275597,1.3078168886680033,1.0,0.0,0,133.20427350427352,1.0018700098776452,wang_or_rule_baseline,"Wang-like ISAC, no table exchange",3,40,200.0,0.0,4025.6666666666665,10.498677165349081,wang2025_isac_no_collab,1,3974.3333333333335,10.498677165349081,0.0,0.0,4025.6666666666665,10.498677165349081
4201.666666666667,514.6794039874618,0.11767634035529281,0.010269656987758417,0.5170068027210885,0.005823383553478266,0.5908,0.02792322808463708,,0.0,0.0,15.596749976032841,1.6730969884256877,1.0,0.0,0,142.81551020408162,0.9753848437938177,wang_or_rule_baseline,"Wang-like ISAC, no table exchange",3,50,200.0,0.0,4993.333333333333,37.56180092712394,wang2025_isac_no_collab,1,5006.666666666667,37.56180092712394,0.0,0.0,4993.333333333333,37.56180092712394
240.66666666666666,23.976840677805924,0.15622062160945185,0.012358510005292964,0.9851851851851852,0.010475656017578498,0.8265,0.016436747447918846,,0.0,0.0,8.666666666666663,0.9428090415820608,1.0,0.0,0,58.08148148148148,3.016625173077066,wang_or_rule_baseline,Wang-like + sensing table,3,10,143.86666666666665,4.0803049994931575,1009.6666666666666,8.993825042154695,wang2025_isac_tables,1,990.3333333333334,8.993825042154695,0.0,0.0,1009.6666666666666,8.993825042154695
968.3333333333334,65.40812046085885,0.13248366445262572,0.007539038221626893,0.8052631578947368,0.014886458551295731,0.761,0.007359800721939904,,0.0,0.0,10.988681430960176,1.0843458191707969,1.0,0.0,0,91.09649122807018,3.5330815778182387,wang_or_rule_baseline,Wang-like + sensing table,3,20,200.0,0.0,1996.0,22.105806175452337,wang2025_isac_tables,1,2004.0,22.105806175452337,0.0,0.0,1996.0,22.105806175452337
2452.6666666666665,113.67302035028169,0.10304959183337449,0.0024844332357164033,0.6835249042145594,0.015741485505114276,0.7155555555555555,0.0019356945989093667,,0.0,0.0,13.765470523444577,0.538096929128746,1.0,0.0,0,114.76934865900382,1.309788593822876,wang_or_rule_baseline,Wang-like + sensing table,3,30,200.0,0.0,2940.0,39.67366884975475,wang2025_isac_tables,1,3060.0,39.67366884975475,0.0,0.0,2940.0,39.67366884975475
4357.666666666667,494.69811220806395,0.0926925771319053,0.010813653297130285,0.6038461538461538,0.020216882346179285,0.6520416666666666,0.007890747042510516,,0.0,0.0,14.052647667897446,0.42297251603407077,1.0,0.0,0,126.80427350427351,1.0158250001860518,wang_or_rule_baseline,Wang-like + sensing table,3,40,200.0,0.0,4025.0,38.99572626156188,wang2025_isac_tables,1,3975.0,38.99572626156188,0.0,0.0,4025.0,38.99572626156188
6815.0,365.4449342924321,0.08188181463881783,0.004883199109367198,0.5360544217687074,0.012546548988733058,0.6405,0.015370100845472717,,0.0,0.0,17.236014508148152,1.3465596463764302,1.0,0.0,0,137.56489795918367,0.8495134375987506,wang_or_rule_baseline,Wang-like + sensing table,3,50,200.0,0.0,4955.666666666667,38.12552367582058,wang2025_isac_tables,1,5044.333333333333,38.12552367582058,0.0,0.0,4955.666666666667,38.12552367582058
